time,infection
1955.00274,7505
1955.005479,7754
1955.008219,7972
1955.010959,8162
1955.013699,8329
1955.016438,8475
1955.019178,8750
1955.021918,8990
1955.024658,9201
1955.027397,9385
1955.030137,9546
1955.032877,9687
1955.035616,9810
1955.038356,9708
1955.041096,9619
1955.043836,9541
1955.046575,9473
1955.049315,9413
1955.052055,9361
1955.054795,9315
1955.057534,9161
1955.060274,9026
1955.063014,8908
1955.065753,8805
1955.068493,8714
1955.071233,8635
1955.073973,8566
1955.076712,9020
1955.079452,9417
1955.082192,9765
1955.084932,10069
1955.087671,10335
1955.090411,10568
1955.093151,10771
1955.09589,11255
1955.09863,11677
1955.10137,12047
1955.10411,12371
1955.106849,12654
1955.109589,12902
1955.112329,13119
1955.115068,14109
1955.117808,14976
1955.120548,15734
1955.123288,16397
1955.126027,16978
1955.128767,17486
1955.131507,17930
1955.134247,18548
1955.136986,19088
1955.139726,19561
1955.142466,19975
1955.145205,20337
1955.147945,20653
1955.150685,20931
1955.153425,21707
1955.156164,22386
1955.158904,22980
1955.161644,23500
1955.164384,23955
1955.167123,24353
1955.169863,24701
1955.172603,25406
1955.175342,26023
1955.178082,26563
1955.180822,27035
1955.183562,27449
1955.186301,27810
1955.189041,28127
1955.191781,28251
1955.194521,28360
1955.19726,28455
1955.2,28538
1955.20274,28611
1955.205479,28675
1955.208219,28731
1955.210959,29313
1955.213699,29823
1955.216438,30269
1955.219178,30659
1955.221918,31001
1955.224658,31299
1955.227397,31561
1955.230137,31713
1955.232877,31847
1955.235616,31963
1955.238356,32066
1955.241096,32155
1955.243836,32233
1955.246575,32302
1955.249315,32895
1955.252055,33415
1955.254795,33869
1955.257534,34267
1955.260274,34615
1955.263014,34919
1955.265753,35185
1955.268493,34637
1955.271233,34157
1955.273973,33738
1955.276712,33370
1955.279452,33049
1955.282192,32768
1955.284932,32521
1955.287671,33183
1955.290411,33762
1955.293151,34268
1955.29589,34711
1955.29863,35099
1955.30137,35438
1955.30411,35735
1955.306849,35366
1955.309589,35042
1955.312329,34760
1955.315068,34512
1955.317808,34296
1955.320548,34106
1955.323288,33941
1955.326027,32919
1955.328767,32025
1955.331507,31243
1955.334247,30558
1955.336986,29959
1955.339726,29435
1955.342466,28977
1955.345205,28137
1955.347945,27403
1955.350685,26760
1955.353425,26197
1955.356164,25705
1955.358904,25275
1955.361644,24898
1955.364384,24702
1955.367123,24530
1955.369863,24380
1955.372603,24248
1955.375342,24133
1955.378082,24033
1955.380822,23945
1955.383562,24344
1955.386301,24693
1955.389041,24999
1955.391781,25267
1955.394521,25501
1955.39726,25706
1955.4,25885
1955.40274,26385
1955.405479,26822
1955.408219,27205
1955.410959,27540
1955.413699,27832
1955.416438,28089
1955.419178,28313
1955.421918,28319
1955.424658,28324
1955.427397,28328
1955.430137,28332
1955.432877,28335
1955.435616,28338
1955.438356,28341
1955.441096,28762
1955.443836,29131
1955.446575,29454
1955.449315,29736
1955.452055,29984
1955.454795,30200
1955.457534,30389
1955.460274,29716
1955.463014,29127
1955.465753,28612
1955.468493,28161
1955.471233,27766
1955.473973,27421
1955.476712,27119
1955.479452,26664
1955.482192,26266
1955.484932,25918
1955.487671,25613
1955.490411,25346
1955.493151,25113
1955.49589,24909
1955.49863,24330
1955.50137,23824
1955.50411,23381
1955.506849,22993
1955.509589,22654
1955.512329,22357
1955.515068,22097
1955.517808,21965
1955.520548,21850
1955.523288,21749
1955.526027,21660
1955.528767,21583
1955.531507,21515
1955.534247,21456
1955.536986,21118
1955.539726,20822
1955.542466,20564
1955.545205,20337
1955.547945,20139
1955.550685,19966
1955.553425,19814
1955.556164,19415
1955.558904,19066
1955.561644,18760
1955.564384,18492
1955.567123,18258
1955.569863,18053
1955.572603,17874
1955.575342,17374
1955.578082,16937
1955.580822,16554
1955.583562,16219
1955.586301,15926
1955.589041,15669
1955.591781,15445
1955.594521,14944
1955.59726,14505
1955.6,14122
1955.60274,13786
1955.605479,13492
1955.608219,13235
1955.610959,13010
1955.613699,12546
1955.616438,12141
1955.619178,11786
1955.621918,11475
1955.624658,11203
1955.627397,10965
1955.630137,10757
1955.632877,10213
1955.635616,9737
1955.638356,9320
1955.641096,8956
1955.643836,8637
1955.646575,8357
1955.649315,8113
1955.652055,7633
1955.654795,7212
1955.657534,6844
1955.660274,6522
1955.663014,6240
1955.665753,5994
1955.668493,5778
1955.671233,5437
1955.673973,5139
1955.676712,4877
1955.679452,4649
1955.682192,4449
1955.684932,4274
1955.687671,4121
1955.690411,3834
1955.693151,3584
1955.69589,3365
1955.69863,3173
1955.70137,3005
1955.70411,2858
1955.706849,2729
1955.709589,2541
1955.712329,2376
1955.715068,2231
1955.717808,2105
1955.720548,1994
1955.723288,1897
1955.726027,1812
1955.728767,1738
1955.731507,1673
1955.734247,1617
1955.736986,1567
1955.739726,1524
1955.742466,1486
1955.745205,1452
1955.747945,1442
1955.750685,1434
1955.753425,1426
1955.756164,1419
1955.758904,1413
1955.761644,1408
1955.764384,1404
1955.767123,1438
1955.769863,1468
1955.772603,1494
1955.775342,1517
1955.778082,1537
1955.780822,1555
1955.783562,1570
1955.786301,1622
1955.789041,1667
1955.791781,1706
1955.794521,1740
1955.79726,1771
1955.8,1797
1955.80274,1820
1955.805479,1898
1955.808219,1965
1955.810959,2025
1955.813699,2077
1955.816438,2122
1955.819178,2162
1955.821918,2197
1955.824658,2246
1955.827397,2289
1955.830137,2327
1955.832877,2360
1955.835616,2389
1955.838356,2415
1955.841096,2437
1955.843836,2456
1955.846575,2473
1955.849315,2488
1955.852055,2501
1955.854795,2512
1955.857534,2522
1955.860274,2531
1955.863014,2558
1955.865753,2581
1955.868493,2601
1955.871233,2619
1955.873973,2635
1955.876712,2648
1955.879452,2660
1955.882192,2671
1955.884932,2680
1955.887671,2688
1955.890411,2695
1955.893151,2701
1955.89589,2706
1955.89863,2711
1955.90137,2734
1955.90411,2755
1955.906849,2773
1955.909589,2788
1955.912329,2802
1955.915068,2814
1955.917808,2824
1955.920548,2871
1955.923288,2913
1955.926027,2949
1955.928767,2981
1955.931507,3008
1955.934247,3033
1955.936986,3054
1955.939726,3072
1955.942466,3089
1955.945205,3103
1955.947945,3115
1955.950685,3126
1955.953425,3136
1955.956164,3144
1955.958904,3170
1955.961644,3193
1955.964384,3213
1955.967123,3231
1955.969863,3246
1955.972603,3260
1955.975342,3272
1955.978082,3225
1955.980822,3184
1955.983562,3148
1955.986301,3117
1955.989041,3089
1955.991781,3065
1955.994521,3044
1955.99726,3064
1956,3081
1956.00274,3096
1956.005479,3110
1956.008219,3121
1956.010959,3131
1956.013699,3140
1956.016438,3215
1956.019178,3281
1956.021918,3338
1956.024658,3388
1956.027397,3432
1956.030137,3471
1956.032877,3504
1956.035616,3410
1956.038356,3328
1956.041096,3255
1956.043836,3192
1956.046575,3137
1956.049315,3089
1956.052055,3047
1956.054795,2948
1956.057534,2862
1956.060274,2786
1956.063014,2720
1956.065753,2662
1956.068493,2611
1956.071233,2567
1956.073973,2555
1956.076712,2544
1956.079452,2535
1956.082192,2527
1956.084932,2520
1956.087671,2513
1956.090411,2508
1956.093151,2547
1956.09589,2582
1956.09863,2612
1956.10137,2638
1956.10411,2661
1956.106849,2681
1956.109589,2699
1956.112329,2780
1956.115068,2851
1956.117808,2914
1956.120548,2968
1956.123288,3016
1956.126027,3058
1956.128767,3095
1956.131507,3162
1956.134247,3221
1956.136986,3272
1956.139726,3318
1956.142466,3357
1956.145205,3391
1956.147945,3422
1956.150685,3453
1956.153425,3480
1956.156164,3503
1956.158904,3524
1956.161644,3542
1956.164384,3558
1956.167123,3572
1956.169863,3531
1956.172603,3495
1956.175342,3464
1956.178082,3437
1956.180822,3413
1956.183562,3392
1956.186301,3374
1956.189041,3336
1956.191781,3302
1956.194521,3273
1956.19726,3247
1956.2,3225
1956.20274,3206
1956.205479,3188
1956.208219,3209
1956.210959,3226
1956.213699,3242
1956.216438,3256
1956.219178,3268
1956.221918,3278
